run_id,episode_id,episode_index,model_name,move_idx,command,observation,score,moves,inventory,done,seed,timestamp,tokens_prompt,tokens_completion
208c9c55-d2ce-46a5-8585-07ab50dac171,77313aa2-b426-4b89-9b19-2719a218f00a,0,gpt-4.1-mini,0,look,"look


West of House
You are standing in an open field west of a white house, with a boarded front
door.
There is a small mailbox here.

",0,0,,False,,2025-12-04T05:24:24.547827,749,1
208c9c55-d2ce-46a5-8585-07ab50dac171,77313aa2-b426-4b89-9b19-2719a218f00a,0,gpt-4.1-mini,1,open mailbox,"open mailbox


Opening the small mailbox reveals a leaflet.

",0,0,,False,,2025-12-04T05:24:27.547177,785,2
208c9c55-d2ce-46a5-8585-07ab50dac171,77313aa2-b426-4b89-9b19-2719a218f00a,0,gpt-4.1-mini,2,get leaflet,"get leaflet


Taken.

",0,0,,False,,2025-12-04T05:24:30.869074,805,2
208c9c55-d2ce-46a5-8585-07ab50dac171,77313aa2-b426-4b89-9b19-2719a218f00a,0,gpt-4.1-mini,3,read leaflet,"read leaflet


""WELCOME TO ZORK!

ZORK is a game of adventure, danger, and low cunning. In it you will explore
some of the most amazing territory ever seen by mortals. No computer should be
without one!""

",0,0,,False,,2025-12-04T05:24:33.927188,819,2
208c9c55-d2ce-46a5-8585-07ab50dac171,77313aa2-b426-4b89-9b19-2719a218f00a,0,gpt-4.1-mini,4,look,"look


West of House
You are standing in an open field west of a white house, with a boarded front
door.
There is a small mailbox here.

",0,0,,False,,2025-12-04T05:24:36.904052,879,1
208c9c55-d2ce-46a5-8585-07ab50dac171,77313aa2-b426-4b89-9b19-2719a218f00a,0,gpt-4.1-mini,5,score,"score
Your score is 0 (total of 350 points), in 5 moves.
This gives you the rank of Beginner.

",0,5,,False,,2025-12-04T05:24:39.904416,920,2
208c9c55-d2ce-46a5-8585-07ab50dac171,77313aa2-b426-4b89-9b19-2719a218f00a,0,gpt-4.1-mini,6,northwest,"northwest


You can't go that way.

",0,5,,False,,2025-12-04T05:24:42.871954,955,2
208c9c55-d2ce-46a5-8585-07ab50dac171,77313aa2-b426-4b89-9b19-2719a218f00a,0,gpt-4.1-mini,7,north,"north


North of House
You are facing the north side of a white house. There is no door here, and all
the windows are boarded up. To the north a narrow path winds through the trees.

",0,5,,False,,2025-12-04T05:24:45.791316,971,1
208c9c55-d2ce-46a5-8585-07ab50dac171,77313aa2-b426-4b89-9b19-2719a218f00a,0,gpt-4.1-mini,8,east,"east


Behind House
You are behind the white house. A path leads into the forest to the east. In one
corner of the house there is a small window which is slightly ajar.

",0,5,,False,,2025-12-04T05:24:48.796159,1022,1
208c9c55-d2ce-46a5-8585-07ab50dac171,77313aa2-b426-4b89-9b19-2719a218f00a,0,gpt-4.1-mini,9,open window,"open window


With great effort, you open the window far enough to allow entry.

",0,5,,False,,2025-12-04T05:24:51.778250,1070,2
208c9c55-d2ce-46a5-8585-07ab50dac171,77313aa2-b426-4b89-9b19-2719a218f00a,0,gpt-4.1-mini,10,score,"score
Your score is 0 (total of 350 points), in 9 moves.
This gives you the rank of Beginner.

",0,9,,False,,2025-12-04T05:24:54.998240,1096,2
208c9c55-d2ce-46a5-8585-07ab50dac171,77313aa2-b426-4b89-9b19-2719a218f00a,0,gpt-4.1-mini,11,enter window,"enter window


Kitchen
You are in the kitchen of the white house. A table seems to have been used
recently for the preparation of food. A passage leads to the west and a dark
staircase can be seen leading upward. A dark chimney leads down and to the east
is a small window which is open.
On the table is an elongated brown sack, smelling of hot peppers.
A bottle is sitting on the table.
The glass bottle contains:
  A quantity of water

",0,9,,False,,2025-12-04T05:24:58.042183,1131,2
208c9c55-d2ce-46a5-8585-07ab50dac171,77313aa2-b426-4b89-9b19-2719a218f00a,0,gpt-4.1-mini,12,take sack,"take sack


Taken.

",0,9,,False,,2025-12-04T05:25:01.402490,1241,2
208c9c55-d2ce-46a5-8585-07ab50dac171,77313aa2-b426-4b89-9b19-2719a218f00a,0,gpt-4.1-mini,13,take bottle,"take bottle


Taken.

",0,9,,False,,2025-12-04T05:25:04.879128,1255,2
208c9c55-d2ce-46a5-8585-07ab50dac171,77313aa2-b426-4b89-9b19-2719a218f00a,0,gpt-4.1-mini,14,up,"up


You have moved into a dark place.
It is pitch black. You are likely to be eaten by a grue.

",0,9,,False,,2025-12-04T05:25:07.918283,1269,1
